Count_Out,Count_In,station_id,station_name,longitude,latitude
43228,39382,279,"North Wharf Road, Paddington",-0.176646,51.5186
43220,38889,533,"Wellington Row, Bethnal Green",-0.069743,51.5282
43196,46151,514,"Portman Square, Marylebone",-0.155525,51.5162
43104,44143,532,"Jubilee Plaza, Canary Wharf",-0.020068,51.5036
43050,41108,488,"Reardon Street, Wapping",-0.058681,51.5069
43043,40219,61,"Great Dover Street, The Borough",-0.0894469,51.4974
42865,46126,779,"Houndsditch, Aldgate",-0.077179,51.5144
42823,38940,80,"Webber Street, Southwark",-0.102091,51.5007
42793,45308,603,"Caldwell Street, Stockwell",-0.116493,51.4778
42656,39903,419,"Chelsea Bridge, Pimlico",-0.149004,51.4858
42583,42137,196,"Union Street, The Borough",-0.0984977,51.5037
42571,41740,782,"Halford Road, West Kensington",-0.197609,51.4839
42564,38737,29,"Hereford Road, Bayswater",-0.193487,51.5137
42554,42004,644,"Rainville Road, Hammersmith",-0.223852,51.4837
42529,40401,605,"Seymour Place, Marylebone",-0.163667,51.5203
42524,46979,594,"Kingsway Southbound, Strand",-0.117774,51.5139
42428,41592,499,"Furze Green, Bow",-0.021345,51.5193
42408,38923,483,"Albert Gardens, Stepney",-0.047784,51.5133
42395,41785,56,"Paddington Street, Marylebone",-0.154701,51.5206
42274,44099,275,"Barbican Centre, Barbican",-0.0921764,51.52
42238,42601,314,"Tyers Gate, Bermondsey",-0.0831594,51.5009
42179,43319,52,"Roscoe Street, St. Luke's",-0.0949349,51.523
42136,40196,612,"Wandsworth Rd, Isley Court, Wandsworth Road",-0.14181300000000002,51.4693
42099,37999,227,"Great Percy Street, Clerkenwell",-0.115481,51.5289
42092,44439,143,"Pont Street, Knightsbridge",-0.161204,51.4969
42037,40065,645,"Great Suffolk Street, The Borough",-0.100292,51.5017
42015,40446,155,"Lexham Gardens, Kensington",-0.191934,51.4959
42007,38724,443,"Philpot Street, Whitechapel",-0.058641,51.5153
41798,40656,687,"Maclise Road, Olympia",-0.211456,51.4976
41745,37595,802,"Albert Square, Stockwell",-0.118256789,51.47659006
